STATION_ID,OBTAINED_DATE,SURFACE_TEMP,SURFACE_CONDITION
RTOI4,1/7/2019 10:50,44.96,Trace Moisture
RTOI4,1/7/2019 11:00,44.96,Trace Moisture
RTOI4,1/7/2019 11:30,45.32,Trace Moisture
RTOI4,1/7/2019 11:40,45.32,Trace Moisture
RTOI4,1/7/2019 11:50,45.5,Trace Moisture
RTOI4,1/7/2019 12:00,45.5,Trace Moisture
RTOI4,1/7/2019 12:10,45.86,Trace Moisture
RTOI4,1/7/2019 12:20,45.86,Trace Moisture
RTOI4,1/7/2019 15:30,49.46,Trace Moisture
RTOI4,1/7/2019 15:40,49.46,Trace Moisture
RTOI4,1/7/2019 15:50,51.26,Trace Moisture
RTOI4,1/7/2019 16:20,50.54,Trace Moisture
RTOI4,1/7/2019 16:40,50.54,Dry
RTOI4,1/7/2019 19:00,59.36,Dry
RTOI4,1/7/2019 19:20,60.08,Dry
RTOI4,1/7/2019 20:40,59.18,Dry
RTOI4,1/7/2019 21:50,52.16,Dry
RTOI4,1/8/2019 6:10,37.58,Trace Moisture
RTOI4,1/8/2019 6:40,37.04,Trace Moisture
RTOI4,1/8/2019 8:50,37.4,Wet
RTOI4,1/8/2019 9:20,36.5,Trace Moisture
RTOI4,1/8/2019 11:20,35.24,Trace Moisture
RTOI4,1/8/2019 12:50,35.6,Trace Moisture
RTOI4,1/8/2019 17:00,50.54,Dry
RTOI4,1/9/2019 6:20,28.22,Dry
RTOI4,1/9/2019 8:00,26.06,Dry
RTOI4,1/9/2019 10:50,22.64,Dry
RTOI4,1/9/2019 11:16,22.28,Dry
RTOI4,1/9/2019 11:20,22.28,Dry
RTOI4,1/9/2019 12:30,21.2,Dry
RTOI4,1/9/2019 13:30,20.84,Dry
RTOI4,1/10/2019 1:00,25.88,Dry
RTOI4,1/10/2019 2:00,25.7,Dry
RTOI4,1/10/2019 4:00,24.44,Dry
RTOI4,1/10/2019 6:00,24.62,Dry
RTOI4,1/10/2019 6:10,24.8,Dry
RTOI4,1/10/2019 10:00,22.82,Dry
RTOI4,1/10/2019 12:40,20.12,Dry
RTOI4,1/10/2019 13:00,19.76,Dry
RTOI4,1/10/2019 13:20,19.4,Dry
RTOI4,1/10/2019 18:30,44.78,Dry
RTOI4,1/11/2019 2:00,27.32,Dry
RTOI4,1/11/2019 2:40,27.5,Dry
RTOI4,1/11/2019 9:30,28.76,Dry
RTOI4,1/11/2019 14:00,30.92,Dry
RTOI4,1/12/2019 0:40,34.34,Dry
RTOI4,1/12/2019 2:30,33.8,Dry
RTOI4,1/12/2019 3:10,32,Trace Moisture
RTOI4,1/12/2019 4:30,29.84,Chemically Wet
RTOI4,1/12/2019 4:40,29.66,Chemically Wet
RTOI4,1/12/2019 5:30,29.48,Chemically Wet
RTOI4,1/12/2019 5:50,29.12,Ice Warning
RTOI4,1/12/2019 6:00,30.02,Ice Warning
RTOI4,1/12/2019 7:10,29.3,Chemically Wet
RTOI4,1/12/2019 7:40,27.14,Chemically Wet
RTOI4,1/12/2019 8:40,27.32,Chemically Wet
RTOI4,1/12/2019 8:50,27.68,Chemically Wet
RTOI4,1/12/2019 9:10,28.4,Ice Warning
RTOI4,1/12/2019 9:20,28.76,Ice Warning
RTOI4,1/12/2019 10:30,28.94,Ice Warning
RTOI4,1/12/2019 11:20,25.7,Ice Warning
RTOI4,1/12/2019 12:40,28.4,Chemically Wet
RTOI4,1/12/2019 13:00,28.04,Chemically Wet
RTOI4,1/12/2019 13:20,27.86,Chemically Wet
RTOI4,1/12/2019 13:30,27.68,Chemically Wet
RTOI4,1/12/2019 14:20,28.58,Ice Warning
RTOI4,1/12/2019 15:10,28.58,Chemically Wet
RTOI4,1/12/2019 16:30,31.64,Chemically Wet
RTOI4,1/12/2019 17:20,32,Wet
RTOI4,1/12/2019 21:50,32,Wet
RTOI4,1/12/2019 22:00,31.46,Chemically Wet
RTOI4,1/12/2019 22:10,31.28,Chemically Wet
RTOI4,1/12/2019 23:00,30.02,Chemically Wet
RTOI4,1/12/2019 23:00,32,Chemically Wet
RTOI4,1/12/2019 23:20,29.3,Chemically Wet
RTOI4,1/12/2019 23:30,29.3,Chemically Wet
RTOI4,1/12/2019 23:50,29.3,Ice Warning
RTOI4,1/13/2019 0:00,28.58,Chemically Wet
RTOI4,1/13/2019 1:00,28.94,Chemically Wet
RTOI4,1/13/2019 1:10,29.12,Chemically Wet
RTOI4,1/13/2019 1:40,28.76,Chemically Wet
RTOI4,1/13/2019 1:50,28.58,Chemically Wet
RTOI4,1/13/2019 2:00,28.58,Chemically Wet
RTOI4,1/13/2019 2:50,29.3,Chemically Wet
RTOI4,1/13/2019 4:10,30.02,Chemically Wet
RTOI4,1/13/2019 4:30,30.02,Chemically Wet
RTOI4,1/13/2019 7:30,27.14,Ice Watch
